order_id,order_date,customer_id,product_name,category,quantity,price_per_unit,discount_percent,status,distance_km
1001,2025-03-15,C001,Ноутбук Acer Aspire 5,Электроника,1,12499.00,10.5,delivered,8.5
1002,2025-03-15,C002,Футболка хлопковая,Одежда,2,249.00,0,delivered,3.2
1003,2025-03-16,C001,Мышь беспроводная,Электроника,1,349.00,5.0,delivered,8.5
1004,2025-03-16,C003,Книга "Python для начинающих",Книги,1,189.00,0,returned,4.1
1005,2025-03-17,C004,Смартфон Samsung Galaxy,Электроника,1,8999.00,15.0,delivered,6.0
1006,2025-03-17,C005,Джинсы синие классические,Одежда,1,649.00,5.0,delivered,2.8
1007,2025-03-18,C002,Чайник электрический Tefal,Бытовая техника,1,749.00,0,pending,5.5
1008,2025-03-18,C006,Наушники Sony WH-CH520,Электроника,1,1299.00,10.0,delivered,7.0
1009,2025-03-19,C003,Рюкзак городской,Аксессуары,1,499.00,5.0,cancelled,4.3
1010,2025-03-19,C007,Фен Braun Satin Hair,Бытовая техника,1,899.00,0,delivered,6.2
1011,2025-03-20,C008,Кроссовки беговые Nike,Обувь,1,1799.00,20.0,delivered,2.1
1012,2025-03-20,C001,Чехол для ноутбука 15.6",Аксессуары,1,199.00,0,delivered,8.5
1013,2025-03-21,C009,Книга "Война и мир",Книги,1,279.00,0,delivered,4.7
1014,2025-03-21,C010,Планшет Huawei MatePad,Электроника,1,4299.00,12.0,returned,10.0
1015,2025-03-22,C004,Футболка спортивная,Одежда,2,199.00,0,delivered,6.0
1016,2025-03-22,C011,Кофеварка капельная,Бытовая техника,1,1199.00,8.0,pending,4.9
1017,2025-03-23,C012,Внешний аккумулятор 20000 mAh,Электроника,1,549.00,5.0,delivered,3.8
1018,2025-03-23,C005,Шорты летние,Одежда,3,189.00,10.0,delivered,2.8
1019,2025-03-24,C013,Тостер Smeg,Бытовая техника,1,3299.00,0,delivered,7.4
1020,2025-03-24,C002,Книга "1984" Джордж Оруэлл,Книги,1,149.00,0,cancelled,3.2